Scan REF	AF14.CEL	AF14.CEL	AF15.CEL	AF15.CEL	AF16.CEL	AF16.CEL	AF6.CEL	AF6.CEL	AF7.CEL	AF7.CEL	AF8.CEL	AF8.CEL
Composite Element REF	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call
Affymetrix:CompositeSequence:HG-U133A_2:36920_at	6.408867548	P	6.29977044	P	6.114703272	P	6.227756358	P	6.39037237	P	6.048070353	P
Affymetrix:CompositeSequence:HG-U133A_2:36936_at	8.825976348	P	8.731347772	P	9.069057886	P	9.244616021	P	8.823537238	P	9.23870618	P
Affymetrix:CompositeSequence:HG-U133A_2:36994_at	9.342773684	P	9.250242199	P	9.399060156	P	9.626098151	P	9.476935408	P	9.536812493	P
Affymetrix:CompositeSequence:HG-U133A_2:37004_at	2.56188344	A	2.57718161	A	2.557565594	A	2.537553606	A	2.578818966	A	2.555182591	A
Affymetrix:CompositeSequence:HG-U133A_2:37005_at	7.31792298	P	7.115730521	P	7.39298245	P	7.282119235	P	7.326115761	P	7.538617134	P
Affymetrix:CompositeSequence:HG-U133A_2:37012_at	10.43928934	P	10.64074099	P	10.29871059	P	10.38921953	P	10.68910592	P	10.29265954	P
Affymetrix:CompositeSequence:HG-U133A_2:37020_at	2.524138719	A	2.533274256	A	2.518605609	A	2.496975685	A	2.539740587	A	2.51533409	A
Affymetrix:CompositeSequence:HG-U133A_2:37022_at	2.756080665	A	2.781234858	A	2.753398097	A	2.742726735	A	2.783505681	A	2.749747227	A
Affymetrix:CompositeSequence:HG-U133A_2:37028_at	8.453801923	P	8.366361664	P	7.927674919	P	7.452503836	P	7.51598679	P	7.843716026	P
Affymetrix:CompositeSequence:HG-U133A_2:37079_at	5.979859942	P	6.00258771	P	5.882515267	P	5.910328685	P	6.055628878	P	5.965864543	P
Affymetrix:CompositeSequence:HG-U133A_2:37117_at	8.200997559	P	8.038692764	P	8.017601986	P	8.176743609	P	7.980498785	P	8.210854357	P
Affymetrix:CompositeSequence:HG-U133A_2:37145_at	2.389754189	A	2.40092236	A	2.384457175	A	2.366844018	A	2.405458363	A	2.382647525	A
Affymetrix:CompositeSequence:HG-U133A_2:37152_at	6.463312496	P	7.056654477	P	6.880649266	P	6.245531925	P	7.532089259	P	6.934414241	P
Affymetrix:CompositeSequence:HG-U133A_2:37170_at	3.46818349	P	3.557328093	P	3.420287393	P	3.424466055	P	3.511999305	P	3.491177729	P
Affymetrix:CompositeSequence:HG-U133A_2:37201_at	2.011499682	A	2.026990228	A	2.009332565	A	1.994778438	A	2.029163279	A	2.003957933	A
Affymetrix:CompositeSequence:HG-U133A_2:37226_at	6.776027939	P	6.545252335	P	6.17589409	P	6.41641853	P	5.938211952	P	5.825392918	P
Affymetrix:CompositeSequence:HG-U133A_2:37232_at	3.764188871	P	3.772957203	P	3.966752231	P	3.754065014	P	3.778456886	P	3.764654002	P
Affymetrix:CompositeSequence:HG-U133A_2:37254_at	3.943304825	P	3.376435366	P	3.724683105	P	3.694427979	P	3.344332102	P	3.714329582	P
Affymetrix:CompositeSequence:HG-U133A_2:37278_at	2.70982023	P	2.707330421	A	2.695750476	P	2.699027508	P	2.706539946	M	2.7044895	P
Affymetrix:CompositeSequence:HG-U133A_2:37384_at	3.829832201	P	3.812082078	A	3.851409367	P	3.841144596	M	3.857632876	M	4.027947024	P
Affymetrix:CompositeSequence:HG-U133A_2:37408_at	3.019262942	A	3.021070106	A	2.981859952	A	2.988457767	A	3.021756393	A	3.000869539	A
Affymetrix:CompositeSequence:HG-U133A_2:37424_at	5.374789285	P	5.165602352	P	5.224686016	P	5.217512184	P	5.244808961	P	5.238024306	P
Affymetrix:CompositeSequence:HG-U133A_2:37425_g_at	4.037474386	P	3.969025248	P	4.267829319	P	4.065205208	P	4.088477553	P	4.350471892	P
Affymetrix:CompositeSequence:HG-U133A_2:37433_at	3.800850893	P	3.730915834	P	3.745720207	P	3.738363879	P	3.753034179	P	3.73950848	P
Affymetrix:CompositeSequence:HG-U133A_2:37462_i_at	5.347461293	P	5.370897461	P	5.36341713	P	5.366328827	P	5.370628865	P	5.207592703	P
Affymetrix:CompositeSequence:HG-U133A_2:37512_at	2.911340997	P	2.889178171	P	2.875251177	A	2.867347925	P	2.908359127	P	2.873208226	A
Affymetrix:CompositeSequence:HG-U133A_2:37547_at	2.533626704	P	2.504824226	P	2.498576597	P	2.493356144	P	2.519849408	P	2.500287926	P
Affymetrix:CompositeSequence:HG-U133A_2:37549_g_at	5.72135662	P	5.676700365	P	5.654813603	P	5.503465521	P	5.591429887	P	5.470155988	P
